date,treatment,tunnel,yield_5bags (g),yield_plant (g),yield_tunnel (kg), acidity (meq 100gr -1),brix (Bx%),Bx/acidity,,,,,,,,,,,,
20/05/2025,control,,,9.79,11.75,14.73,7.7,0.522742702,,,,,,,,,,,,
20/05/2025,shaded,,,2.78,3.33,15.03,7.9,0.525615436,,,,,,,,,,,,
23/05/2025,control,C1,1022.30,34.08,40.89,10.47,7.40,0.70678128,,,,,,,,,,,,
23/05/2025,control,C2,1481.70,49.39,59.27,11.73,7.60,0.647911338,,,,,,,,,,,,
23/05/2025,control,C3,1676.40,55.88,67.06,13.74,7.60,0.553129549,,,,,,,,,,,,
23/05/2025,shaded,S1,938.90,31.30,37.56,12.36,7.00,0.566343042,,,,,,,,,,,,
23/05/2025,shaded,S2,1110.80,37.03,44.43,11.48,7.40,0.644599303,,,,,,,,,,,,
23/05/2025,shaded,S3,847.10,28.24,33.88,13.31,7.30,0.548459805,,,,,,,,,,,,
27/05/2025,control,C1,2119.50,70.65,84.78,12.40,7.60,0.612903226,,,,,,,,,,,,
27/05/2025,control,C2,2196.00,73.20,87.84,12.09,7.30,0.603804797,,,,,,,,,,,,
27/05/2025,control,C3,2191.90,73.06,87.68,12.98,7.10,0.546995378,,,,,,,,,,,,
27/05/2025,shaded,S1,2284.70,76.16,91.39,11.67,6.80,0.58269066,,,,,,,,,,,,
27/05/2025,shaded,S2,1988.40,66.28,79.54,11.35,7.20,0.634361233,,,,,,,,,,,,
27/05/2025,shaded,S3,1744.60,58.15,69.78,12.22,7.30,0.597381342,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
