receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,temperature_daytime_mean,temperature_nighttime_mean,humidity_daytime_mean,humidity_nighttime_mean,vaporPressureDeficit_daytime_mean,vaporPressureDeficit_nighttime_mean
2024-06-30 00:00:00+00:00,15.75,17.733333333333334,88.33333333333334,0.23833333333333334,15.9,18.233333333333334,90.3,0.2866666666666667,15.6,17.233333333333334,86.36666666666667,0.19000000000000003,,17.733333333333334,,88.33333333333334,,0.23833333333333334
2024-07-31 00:00:00+00:00,19.22573924731183,24.548678315412186,75.11189516129032,1.0386447132616488,23.73010752688172,34.850537634408596,95.29247311827957,2.993010752688172,15.955913978494623,16.96451612903226,47.17741935483871,0.09333333333333334,28.80952380952381,18.583494623655916,63.503149001536094,91.36413978494623,1.641662826420891,0.19441935483870967
2024-08-31 00:00:00+00:00,20.425784050179214,23.54248431899642,84.23829525089606,0.6189863351254481,26.549462365591395,32.829032258064515,97.6752688172043,1.90247311827957,16.50752688172043,17.00537634408602,61.81827956989247,0.04838709677419355,27.259466205837175,18.338709677419356,76.51165514592934,95.05559139784947,0.9813997695852534,0.11160752688172043
2024-09-30 00:00:00+00:00,13.198310185185186,16.427199074074075,83.6812037037037,0.3962685185185185,17.418333333333333,24.61777777777778,96.47555555555556,1.2433333333333332,9.558333333333334,10.782777777777778,62.745555555555555,0.04672222222222222,19.066150793650795,12.732666666666667,77.36373015873015,92.52566666666667,0.6000079365079365,0.11103333333333333
2024-10-31 00:00:00+00:00,11.997244623655913,13.069366039426523,94.11783154121864,0.12951612903225806,15.834946236559139,19.83225806451613,99.80752688172043,0.6509677419354839,9.310752688172043,9.388172043010753,75.56559139784946,0.0022580645161290325,14.822561443932411,10.61489247311828,90.34377880184331,99.40150537634409,0.21651305683563749,0.007720430107526882
2024-11-30 00:00:00+00:00,1.4998495370370368,3.4346527777777776,89.80555555555556,0.13491319444444444,9.00111111111111,14.918888888888889,99.86111111111111,0.8225555555555555,-2.5433333333333334,-1.9822222222222223,53.07111111111111,0.0006666666666666666,6.075912698412698,-0.2631111111111111,83.79309523809523,98.223,0.22433531746031746,0.009722222222222222
2024-12-31 00:00:00+00:00,-2.1381496415770607,-0.11420250896057357,89.46888440860215,0.09859318996415771,3.0688172043010753,8.60215053763441,98.67204301075269,0.40440860215053764,-5.108602150537634,-4.221505376344086,67.91129032258064,0.007204301075268817,1.425115207373272,-2.269247311827957,86.06962365591397,94.2278494623656,0.13837173579109063,0.04290322580645162
2025-01-31 00:00:00+00:00,-0.1861447132616487,0.8898521505376344,93.93564068100358,0.054502688172043005,4.2075268817204305,8.288172043010753,99.99462365591398,0.3080645161290323,-3.253763440860215,-3.02258064516129,74.152688172043,0.0,2.3454685099846393,-1.148010752688172,90.78460061443931,98.34709677419356,0.08711981566820276,0.008838709677419355
2025-02-28 00:00:00+00:00,2.2207093253968258,3.883680555555556,91.10982142857142,0.11772569444444445,6.214285714285714,12.229761904761904,99.99166666666667,0.5616666666666666,-0.7226190476190476,-0.7214285714285714,65.5702380952381,0.0,6.097619047619048,0.7841666666666667,85.29723639455781,99.24744047619048,0.1976232993197279,0.00586904761904762
2025-03-31 00:00:00+00:00,5.447614247311828,8.954849910394266,83.33674955197134,0.3172524641577061,9.791397849462367,19.13978494623656,99.66989247311828,1.1634408602150537,1.9268817204301076,2.2301075268817203,53.39139784946237,0.0032258064516129032,12.413383256528418,4.112903225806452,73.84168586789555,96.62983870967743,0.5213306451612902,0.03154301075268817
2025-04-30 00:00:00+00:00,10.202962962962964,13.790625,82.72256944444445,0.44373842592592594,15.312222222222223,24.32777777777778,99.20444444444443,1.5275555555555556,5.830555555555557,6.1483333333333325,54.84111111111111,0.009000000000000001,17.80472222222222,8.17088888888889,73.07813492063492,96.22477777777777,0.7314325396825397,0.04096666666666667
2025-05-31 00:00:00+00:00,13.978707437275986,17.35545474910394,83.88686155913977,0.548206765232975,20.163440860215054,28.648387096774194,99.95161290322581,1.8234408602150536,8.691397849462366,8.717204301075268,56.604301075268815,0.0004301075268817205,21.914400921658984,10.972930107526883,73.55614439324117,98.34986559139784,0.9222503840245776,0.02454569892473118
2025-06-30 00:00:00+00:00,20.387469806763285,24.565579710144927,80.67092391304348,0.9502777777777779,27.01521739130435,36.4804347826087,99.86376811594204,2.8365217391304345,14.885507246376813,15.043478260869565,54.75507246376811,0.002608695652173913,29.799016563146996,17.165821256038647,69.01260869565218,97.1805072463768,1.5757660455486542,0.06310386473429952
